#{"t_start": 1628130611.9771528, "env_id": null}
r,l,t
2676.5,501,1287.146747
2493.0,501,1289.038432
2737.0,501,1290.95941
2583.5,501,1292.736467
4925.0,501,1294.602669
2631.5,501,1296.49622
2499.0,501,1298.395197
3810.5,501,1300.2232
2389.0,501,1302.149995
2744.0,501,1303.986051
4410.5,501,1305.9115
3458.0,501,1307.798567
2254.0,501,1309.651213
2905.0,501,1311.457402
3001.5,501,1313.376032
3480.0,501,1315.346883
3229.0,501,1317.247185
3255.0,501,1319.04822
4003.5,501,1320.960602
1737.5,501,1322.807626
2928.0,501,1324.639757
2614.5,501,1326.546687
2556.5,501,1328.409839
2424.0,501,1330.290293
3315.0,501,1332.120994
2770.5,501,1333.985596
2308.5,501,1335.909532
4030.5,501,1337.788929
5105.0,501,1339.674403
2928.0,501,1341.470033
5823.0,501,1343.334899
3342.5,501,1345.163184
1891.0,501,1347.072181
3220.5,501,1348.928218
2313.0,501,1350.845884
1904.5,501,1352.68575
2935.0,501,1354.457913
2653.5,501,1356.286826
3441.5,501,1358.180881
2906.5,501,1360.052096
2127.0,501,1361.914095
2716.5,501,1363.763589
3480.0,501,1365.709198
2556.5,501,1367.589228
2006.0,501,1369.4595
3298.5,501,1371.33488
2019.5,501,1373.178297
3309.0,501,1374.983938
2936.0,501,1376.85814
3702.0,501,1378.719794
1893.0,501,1380.659514
2204.0,501,1382.51555
2350.5,501,1384.39578
3289.5,501,1386.254114
3840.5,501,1388.210704
3280.5,501,1390.140183
3972.0,501,1392.013449
4101.0,501,1393.826078
2309.0,501,1395.766752
3736.5,501,1397.669447
2237.5,501,1399.557403
4554.0,501,1401.420733
2628.0,501,1403.362928
2634.0,501,1405.255735
3307.0,501,1407.165114
4053.0,501,1409.082892
3832.5,501,1410.966233
3386.0,501,1412.804677
3708.5,501,1414.762992
2894.0,501,1416.657877
2820.0,501,1418.544228
2989.5,501,1420.374348
2663.0,501,1422.226496
4196.0,501,1424.125414
2708.5,501,1426.018726
3712.5,501,1427.922181
3246.5,501,1429.828949
2770.5,501,1431.73224
2749.5,501,1433.599724
3988.5,501,1435.573005
2913.0,501,1437.477072
3367.5,501,1439.327831
3330.0,501,1441.249578
3756.0,501,1443.131594
2649.0,501,1444.999497
1988.0,501,1446.901778
1945.0,501,1448.832709
2822.0,501,1450.726612
4065.0,501,1452.575594
2907.0,501,1454.506346
2430.0,501,1456.45319
2852.0,501,1458.326123
2647.0,501,1460.215392
2712.0,501,1462.114014
2425.0,501,1464.157483
2913.0,501,1466.044126
3913.5,501,1467.911451
1761.0,501,1469.797254
2219.0,501,1471.744334
2855.0,501,1473.60032
2080.5,501,1475.434752
2187.0,501,1477.316161
3066.5,501,1479.21386
2582.5,501,1481.117296
1744.5,501,1483.032898
2776.5,501,1484.907515
1940.5,501,1486.774489
2792.5,501,1488.621043
3014.0,501,1490.491241
1980.5,501,1492.402407
