#{"t_start": 1627960620.44219, "env_id": null}
r,l,t
37.5,501,409.465655
-108.0,501,410.398123
129.5,501,411.629487
85.0,501,412.522629
93.0,501,413.729926
138.5,501,414.614292
-185.0,501,415.820557
-64.5,501,416.728036
-142.0,501,417.948497
18.5,501,418.837902
-529.0,501,420.036969
-325.0,501,420.917236
-208.5,501,422.124738
-604.5,501,423.004274
-184.0,501,424.236544
-496.0,501,425.149745
152.0,501,426.323606
-465.0,501,427.219785
-271.5,501,428.438574
-279.0,501,429.340884
-353.5,501,430.536635
-162.0,501,431.404809
-432.0,501,432.571214
-353.5,501,433.437265
-97.0,501,434.591811
-353.5,501,435.463697
-132.0,501,436.610134
-312.5,501,437.508725
-662.0,501,438.706681
-503.0,501,439.597058
-289.0,501,440.791503
-283.5,501,441.691784
-396.0,501,442.587021
-208.0,501,443.754389
162.0,501,444.641065
-136.5,501,445.85985
-109.5,501,446.750053
-219.0,501,447.976234
-166.5,501,448.844837
-307.0,501,450.010911
-363.0,501,450.871496
-321.0,501,452.096689
-277.5,501,452.975691
-544.5,501,454.19896
-214.5,501,455.09319
-217.5,501,456.303621
-322.0,501,457.204268
-330.0,501,458.441154
-424.0,501,459.338199
-365.5,501,460.55674
-504.5,501,461.455795
-519.0,501,462.650545
-331.0,501,463.504903
-462.5,501,464.663281
-542.5,501,465.544695
-568.5,501,466.770266
-134.0,501,467.654869
-593.5,501,468.878868
-280.0,501,469.776274
-201.0,501,471.005505
-583.5,501,471.883142
-479.5,501,473.110696
-550.0,501,474.028896
-55.0,501,475.257744
-522.0,501,476.16908
-283.5,501,477.410023
141.5,501,478.311642
111.0,501,479.556656
217.5,501,480.447625
141.0,501,481.662065
-115.5,501,482.546864
4.5,501,483.761905
132.0,501,484.653598
150.0,501,485.870156
-61.5,501,486.76761
171.0,501,487.969661
-301.5,501,488.875794
156.0,501,490.08062
-82.5,501,490.984088
51.0,501,491.882191
130.0,501,493.099199
229.5,501,494.005009
4.0,501,495.20678
196.5,501,496.103919
139.0,501,497.290813
135.0,501,498.177402
-108.0,501,499.361766
-252.5,501,500.233958
-351.5,501,501.419953
-78.5,501,502.325551
-360.5,501,503.498765
-210.0,501,504.357027
-446.5,501,505.506022
-387.0,501,506.364146
-611.5,501,507.502472
-454.5,501,508.348924
-553.5,501,509.485181
-523.0,501,510.372847
-648.5,501,511.576368
-344.0,501,512.461203
-546.0,501,513.66549
-659.5,501,514.559656
-649.0,501,515.74325
-721.5,501,516.586843
-681.0,501,517.755724
-434.5,501,518.627626
-733.5,501,519.824598
-511.5,501,520.70218
-745.5,501,521.864151
-724.0,501,522.763135
-688.5,501,523.980003
-783.0,501,524.850675
-534.0,501,526.014853
-676.5,501,526.887805
-459.5,501,528.08735
-608.0,501,528.979318
-551.5,501,530.202423
-448.5,501,531.114599
-663.0,501,532.319474
-612.0,501,533.195489
-651.0,501,534.400312
-732.0,501,535.307888
-439.0,501,536.526973
-356.5,501,537.426328
-564.0,501,538.626907
-519.0,501,539.537956
-523.5,501,540.435315
-341.0,501,541.657807
-444.0,501,542.575109
-400.0,501,543.801211
-387.0,501,544.68688
-398.5,501,545.89283
-581.5,501,546.78789
-157.5,501,547.93103
-114.5,501,548.783418
-206.0,501,550.031438
-348.0,501,550.940029
-48.5,501,552.122274
-401.5,501,552.996292
