#{"t_start": 1626354269.592577, "env_id": null}
r,l,t
50,2,1232.777997
50,2,1233.730978
100,3,1234.687158
50,2,1236.113679
100,3,1237.071053
50,2,1238.498674
50,2,1239.451728
50,2,1240.402784
50,2,1241.356694
100,3,1242.311022
50,2,1243.735198
100,3,1244.688661
50,2,1246.115285
50,2,1247.0668
50,2,1248.017156
50,2,1248.967307
50,2,1249.918369
100,3,1250.870132
50,2,1252.292898
50,2,1253.243319
50,2,1254.196285
50,2,1255.148546
50,2,1256.099831
50,2,1257.050189
50,2,1258.001901
50,2,1258.953352
50,2,1259.90435
50,2,1260.855468
100,3,1261.809414
50,2,1263.232473
50,2,1264.186507
100,3,1265.141816
50,2,1266.565965
50,2,1267.516388
50,2,1268.467049
50,2,1269.418584
100,3,1270.372361
50,2,1271.797333
50,2,1272.751407
50,2,1273.702968
200,5,1274.663045
150,4,1277.035243
50,2,1278.929891
50,2,1279.880847
50,2,1280.832421
50,2,1281.782833
100,3,1282.734429
50,2,1284.157227
100,3,1285.110248
50,2,1286.53335
50,2,1287.484376
50,2,1288.434402
100,3,1289.387987
50,2,1290.811639
50,2,1291.762125
50,2,1292.714748
50,2,1293.670124
50,2,1294.621791
50,2,1295.572322
50,2,1296.522702
50,2,1297.47484
100,3,1298.427599
100,3,1299.852083
100,3,1301.420587
50,2,1302.850536
100,3,1303.807834
150,4,1305.241394
50,2,1307.199403
50,2,1308.159921
50,2,1309.113112
100,3,1310.068361
100,3,1311.498387
100,3,1312.965135
50,2,1314.42285
100,3,1315.382222
50,2,1316.878469
100,3,1317.835879
50,2,1319.310419
50,2,1320.260327
50,2,1321.211406
50,2,1322.162594
100,3,1323.114717
100,3,1324.550061
100,3,1326.016806
100,3,1327.441664
50,2,1328.86447
50,2,1329.814574
100,3,1330.792065
50,2,1332.243458
50,2,1333.194147
100,3,1334.145904
100,3,1335.570319
50,2,1336.994416
50,2,1337.944621
50,2,1338.895464
50,2,1339.846433
100,3,1340.800441
50,2,1342.222845
50,2,1343.176107
100,3,1344.131154
50,2,1345.561966
150,4,1346.5184
50,2,1348.414975
50,2,1349.365951
50,2,1350.318685
50,2,1351.27105
100,3,1352.225166
50,2,1353.649396
100,3,1354.604586
50,2,1356.028316
50,2,1356.979778
50,2,1357.931256
50,2,1358.885049
50,2,1359.837157
100,3,1360.790513
50,2,1362.212779
50,2,1363.163629
50,2,1364.113657
50,2,1365.063793
100,3,1366.015671
50,2,1367.438347
50,2,1368.390091
50,2,1369.342432
50,2,1370.294727
100,3,1371.248991
50,2,1372.671661
50,2,1373.622333
50,2,1374.572986
50,2,1375.524791
50,2,1376.476133
50,2,1377.427085
100,3,1378.380088
50,2,1379.807755
100,3,1380.760963
50,2,1382.184492
50,2,1383.135798
50,2,1384.088428
150,4,1385.051164
50,2,1386.946591
50,2,1387.900444
50,2,1388.852893
50,2,1389.80284
50,2,1390.753472
50,2,1391.70358
50,2,1392.654431
50,2,1393.604638
50,2,1394.555642
50,2,1395.506398
100,3,1396.45902
100,3,1397.883332
50,2,1399.305764
100,3,1400.257244
50,2,1401.683396
50,2,1402.63343
100,3,1403.586279
50,2,1405.009429
150,4,1405.964841
50,2,1407.863814
50,2,1408.81687
50,2,1409.771153
50,2,1410.725444
50,2,1411.676708
50,2,1412.627133
50,2,1413.578116
50,2,1414.531412
50,2,1415.482161
50,2,1416.433425
50,2,1417.387569
100,3,1418.344444
50,2,1419.767865
150,4,1420.722082
50,2,1422.617617
150,4,1423.573107
50,2,1425.46864
150,4,1426.422157
50,2,1428.317629
50,2,1429.26925
50,2,1430.220487
100,3,1431.17253
50,2,1432.595595
100,3,1433.549379
50,2,1434.973019
200,5,1435.933205
50,2,1438.304922
50,2,1439.256872
100,3,1440.208218
50,2,1441.630944
50,2,1442.581374
100,3,1443.534452
50,2,1444.958238
50,2,1445.909877
100,3,1446.863619
50,2,1448.289813
50,2,1449.241926
50,2,1450.193444
100,3,1451.147513
50,2,1452.572699
50,2,1453.522991
50,2,1454.473783
50,2,1455.425031
50,2,1456.37741
100,3,1457.329441
50,2,1458.752687
50,2,1459.703429
100,3,1460.656464
100,3,1462.081515
50,2,1463.50449
100,3,1464.457069
50,2,1465.884337
50,2,1466.836353
50,2,1467.786723
100,3,1468.738329
50,2,1470.163449
50,2,1471.115225
100,3,1472.06768
50,2,1473.490016
100,3,1474.443602
50,2,1475.866372
50,2,1476.817581
50,2,1477.768799
50,2,1478.721212
100,3,1479.674028
50,2,1481.097228
50,2,1482.048146
50,2,1483.00045
50,2,1483.950735
100,3,1484.903185
50,2,1486.326668
50,2,1487.278706
50,2,1488.229687
50,2,1489.18264
50,2,1490.136116
100,3,1491.091006
50,2,1492.514895
50,2,1493.466618
50,2,1494.418549
50,2,1495.371488
100,3,1496.325881
50,2,1497.751158
100,3,1498.706004
50,2,1500.130489
100,3,1501.083196
50,2,1502.505751
100,3,1503.45835
150,4,1504.886492
50,2,1506.781136
50,2,1507.735733
50,2,1508.687971
50,2,1509.640185
50,2,1510.591833
50,2,1511.544044
50,2,1512.495288
100,3,1513.449534
50,2,1514.873692
100,3,1515.82545
150,4,1517.25146
50,2,1519.147952
50,2,1520.098807
50,2,1521.051306
100,3,1522.007293
50,2,1523.432188
50,2,1524.38367
100,3,1525.336415
50,2,1526.758717
100,3,1527.712008
50,2,1529.134758
50,2,1530.085679
100,3,1531.042061
100,3,1532.471948
50,2,1533.895949
50,2,1534.847663
50,2,1535.798556
50,2,1536.749781
50,2,1537.700582
150,4,1538.654864
50,2,1540.549488
50,2,1541.5042
50,2,1542.454998
50,2,1543.405336
50,2,1544.358135
50,2,1545.309489
100,3,1546.261741
50,2,1547.684863
50,2,1548.635667
50,2,1549.587577
50,2,1550.541295
50,2,1551.494454
50,2,1552.448967
100,3,1553.406726
50,2,1554.833449
50,2,1555.786192
50,2,1556.737103
50,2,1557.690434
50,2,1558.64151
50,2,1559.593868
50,2,1560.545194
50,2,1561.498463
50,2,1562.450136
50,2,1563.402166
100,3,1564.355263
50,2,1565.780573
50,2,1566.731603
50,2,1567.683561
50,2,1568.634576
100,3,1569.589671
100,3,1571.015654
50,2,1572.438157
50,2,1573.389299
50,2,1574.341155
50,2,1575.292223
50,2,1576.243336
50,2,1577.193957
50,2,1578.145747
50,2,1579.096398
50,2,1580.046985
50,2,1580.998308
50,2,1581.950381
50,2,1582.901085
50,2,1583.851416
50,2,1584.802453
50,2,1585.754057
50,2,1586.704954
150,4,1587.658658
50,2,1589.553438
50,2,1590.506608
50,2,1591.456949
50,2,1592.40764
50,2,1593.358625
50,2,1594.311737
50,2,1595.262346
100,3,1596.215214
50,2,1597.638509
100,3,1598.591384
150,4,1600.017951
50,2,1601.915114
50,2,1602.865302
50,2,1603.817006
50,2,1604.767751
50,2,1605.718779
50,2,1606.670029
50,2,1607.625026
50,2,1608.578127
100,3,1609.534511
50,2,1610.95979
50,2,1611.911905
50,2,1612.864289
200,5,1613.820594
50,2,1616.187839
50,2,1617.139481
50,2,1618.090155
50,2,1619.040949
50,2,1619.991374
150,4,1620.946355
50,2,1622.841559
50,2,1623.792635
50,2,1624.743816
150,4,1625.698365
50,2,1627.593087
100,3,1628.544763
50,2,1629.966915
50,2,1630.91792
50,2,1631.86843
50,2,1632.818506
50,2,1633.768553
50,2,1634.721571
50,2,1635.672792
50,2,1636.624516
50,2,1637.576573
50,2,1638.529974
50,2,1639.481437
100,3,1640.434968
50,2,1641.858249
50,2,1642.810638
50,2,1643.76125
100,3,1644.71324
50,2,1646.136199
50,2,1647.089551
100,3,1648.046001
50,2,1649.472376
50,2,1650.427464
100,3,1651.38215
50,2,1652.806147
100,3,1653.759428
150,4,1655.185759
50,2,1657.081819
50,2,1658.032639
50,2,1658.983048
100,3,1659.935348
50,2,1661.36164
100,3,1662.316913
100,3,1663.745818
50,2,1665.171875
50,2,1666.128174
100,3,1667.081002
50,2,1668.504627
50,2,1669.455852
50,2,1670.407394
50,2,1671.358585
50,2,1672.30951
50,2,1673.260163
50,2,1674.212013
150,4,1675.169196
50,2,1677.067084
50,2,1678.018437
50,2,1678.97179
100,3,1679.925557
50,2,1681.349428
50,2,1682.29985
100,3,1683.254037
50,2,1684.676926
50,2,1685.627165
50,2,1686.577819
50,2,1687.53206
50,2,1688.48525
50,2,1689.438972
50,2,1690.392173
50,2,1691.344886
100,3,1692.298111
50,2,1693.721646
50,2,1694.673277
50,2,1695.6259
50,2,1696.577101
50,2,1697.52785
50,2,1698.477839
50,2,1699.429495
50,2,1700.380021
50,2,1701.330535
50,2,1702.280933
50,2,1703.234309
